experiment_id,run,status,device,torch_version,cuda_version,alpha,learning_rate,window,layers,batch_size,max_sentences,sampling,sentences,examples,development_examples,test_examples,validation_bce,validation_bce_sd,validation_top1,validation_top1_sd,validation_bit_accuracy,validation_exact_word_accuracy,validation_paper_similarity_accuracy,test_bce,test_top1,test_bit_accuracy,test_exact_word_accuracy,test_paper_similarity_accuracy,duration_seconds
0,train-causal-l8-20260914T130634Z-stzow54e,complete,cuda,2.14.0+cu130,13.0,0.1,0.0001,2,8,64,,uniform,202172,1582956,1266418,316538,0.6819642385662097,0.00022263072992579215,1.9743492544857213e-06,2.7921514925549166e-06,0.585854135381967,1.9743492544857213e-06,0.9013383817768765,0.6816940566874707,3.159178360891899e-06,0.5862985983176924,3.159178360891899e-06,0.9021002217743209,2439.9074
1,train-causal-l8-20260914T134717Z-ibeztjf3,complete,cuda,2.14.0+cu130,13.0,0.1,0.0001,4,8,64,,uniform,202172,1582956,1266418,316538,0.6813413906037602,0.00017612182932418515,1.9743492544857213e-06,2.7921514925549166e-06,0.5842337986801338,1.9743492544857213e-06,0.897511483574039,0.681113007548233,0.0,0.5845420951490365,0.0,0.8975510049346366,4353.178086
2,train-causal-l8-20260914T145953Z-0mpn_gxe,complete,cuda,2.14.0+cu130,13.0,0.1,0.0001,8,8,64,,uniform,202172,1582956,1266418,316538,0.6819633562668692,0.00017967010590710033,3.955198404899521e-06,9.192240975501433e-09,0.5829094543044411,3.955198404899521e-06,0.8925493784300359,0.681742449485395,3.159178360891899e-06,0.5831881615657971,3.159178360891899e-06,0.8928059190365769,7378.84407
3,train-causal-l8-20260914T170254Z-3tdfke39,complete,cuda,2.14.0+cu130,13.0,0.1,0.0003,2,8,64,,uniform,202172,1582956,1266418,316538,0.6546632535835958,0.0006932861657675823,1.9743492544857213e-06,2.7921514925549166e-06,0.5860669970427494,1.9743492544857213e-06,0.9009679954852288,0.6545011776612217,6.318356721783798e-06,0.5865571996320911,6.318356721783798e-06,0.901689528587405,2356.811859
4,train-causal-l8-20260914T174214Z-cg9d9rsy,complete,cuda,2.14.0+cu130,13.0,0.1,0.0003,4,8,64,,uniform,202172,1582956,1266418,316538,0.6543079813051222,0.0005341200513917222,1.9743492544857213e-06,2.7921514925549166e-06,0.5848759283215592,1.9743492544857213e-06,0.8986863074982127,0.654239513013527,0.0,0.5850897612834568,0.0,0.8987009458580012,4153.293922
5,train-causal-l8-20260914T130634Z-spxmmrd8,complete,cuda,2.14.0+cu130,13.0,0.1,0.0003,8,8,64,,uniform,202172,1582956,1266418,316538,0.6557189012017807,0.0005892912288555173,1.7788642978155727e-05,8.348877754738246e-06,0.5846681538886325,1.7788642978155727e-05,0.8951250250786165,0.6555649920918891,2.2114248526243295e-05,0.5852125179283372,2.2114248526243295e-05,0.8959303464354991,7577.436419
6,train-causal-l8-20260914T151254Z-w6r1i7zm,complete,cuda,2.14.0+cu130,13.0,0.1,0.001,2,8,64,,uniform,202172,1582956,1266418,316538,0.5660236114456118,0.004112518667690085,0.004062079760374801,8.774936464703459e-05,0.725998470134654,0.004062079760374801,0.9859786461574411,0.5690961292211161,0.004745085898059632,0.7285166845235462,0.004745085898059632,0.986349190302586,2361.359466
7,train-causal-l8-20260914T155218Z-znrjn1l1,complete,cuda,2.14.0+cu130,13.0,0.1,0.001,4,8,64,,uniform,202172,1582956,1266418,316538,0.5665660136871185,0.0037778335115301476,0.003198229653128264,0.0003961798450416238,0.726144632680938,0.003198229653128264,0.9856904366655577,0.5698397501387819,0.0038605159570099007,0.7286563653382171,0.0038605159570099007,0.9863144393406162,4155.393783
8,train-causal-l8-20260914T170136Z-ue1bkog2,complete,cuda,2.14.0+cu130,13.0,0.1,0.001,8,8,64,,uniform,202172,1582956,1266418,316538,0.5700075720465312,0.003769117251206029,0.002616958485318452,0.0005178854805921024,0.7207968966210138,0.002616958485318452,0.980067494893036,0.5728333688509321,0.0033708433110716564,0.7235800170234582,0.0033708433110716564,0.9802582944227866,7346.144073
9,train-causal-l8-20260914T190404Z-pfxhzv0d,complete,cuda,2.14.0+cu130,13.0,1.0,0.0001,2,8,64,,uniform,202172,1582956,1266418,316538,0.6819931378473529,0.00022580201215162624,1.9743492544857213e-06,2.7921514925549166e-06,0.5856625861307183,1.9743492544857213e-06,0.9009170978976393,0.6817167374008927,3.159178360891899e-06,0.5861918632202137,3.159178360891899e-06,0.9016042307716609,2352.170832
