Epoch   0: train BCE=0.671718, test BCE=0.673158, exact word=0.001, paper score=0.890
Epoch   1: train BCE=0.669027, test BCE=0.670574, exact word=0.001, paper score=0.893
Epoch   2: train BCE=0.665887, test BCE=0.667558, exact word=0.001, paper score=0.893
Epoch   3: train BCE=0.663053, test BCE=0.664840, exact word=0.001, paper score=0.893
Epoch   4: train BCE=0.660710, test BCE=0.662587, exact word=0.001, paper score=0.890
Epoch   5: train BCE=0.658284, test BCE=0.660259, exact word=0.001, paper score=0.889
Epoch   6: train BCE=0.655882, test BCE=0.657963, exact word=0.001, paper score=0.888
Epoch   7: train BCE=0.653515, test BCE=0.655684, exact word=0.001, paper score=0.887
Epoch   8: train BCE=0.651145, test BCE=0.653439, exact word=0.001, paper score=0.887
Epoch   9: train BCE=0.648732, test BCE=0.651144, exact word=0.001, paper score=0.888
Epoch  10: train BCE=0.646375, test BCE=0.648940, exact word=0.001, paper score=0.889
Epoch  11: train BCE=0.644222, test BCE=0.646899, exact word=0.001, paper score=0.887
Epoch  12: train BCE=0.641950, test BCE=0.644718, exact word=0.001, paper score=0.886
Epoch  13: train BCE=0.639858, test BCE=0.642720, exact word=0.001, paper score=0.886
Epoch  14: train BCE=0.637397, test BCE=0.640375, exact word=0.001, paper score=0.887
Epoch  15: train BCE=0.635495, test BCE=0.638600, exact word=0.001, paper score=0.888
Epoch  16: train BCE=0.633619, test BCE=0.636833, exact word=0.001, paper score=0.888
Epoch  17: train BCE=0.631705, test BCE=0.634985, exact word=0.001, paper score=0.886
Epoch  18: train BCE=0.629819, test BCE=0.633185, exact word=0.001, paper score=0.885
Epoch  19: train BCE=0.628147, test BCE=0.631589, exact word=0.001, paper score=0.887
Epoch  20: train BCE=0.626261, test BCE=0.629799, exact word=0.001, paper score=0.887
Epoch  21: train BCE=0.624128, test BCE=0.627769, exact word=0.001, paper score=0.886
Epoch  22: train BCE=0.621770, test BCE=0.625480, exact word=0.001, paper score=0.885
Epoch  23: train BCE=0.619876, test BCE=0.623686, exact word=0.001, paper score=0.885
Epoch  24: train BCE=0.618005, test BCE=0.621884, exact word=0.001, paper score=0.885
Epoch  25: train BCE=0.616545, test BCE=0.620482, exact word=0.001, paper score=0.888
Epoch  26: train BCE=0.614691, test BCE=0.618690, exact word=0.005, paper score=0.907
Epoch  27: train BCE=0.612561, test BCE=0.616686, exact word=0.005, paper score=0.912
Epoch  28: train BCE=0.610788, test BCE=0.614986, exact word=0.005, paper score=0.911
Epoch  29: train BCE=0.608920, test BCE=0.613175, exact word=0.005, paper score=0.911
Epoch  30: train BCE=0.607325, test BCE=0.611621, exact word=0.005, paper score=0.911
Epoch  31: train BCE=0.605882, test BCE=0.610231, exact word=0.005, paper score=0.911
Epoch  32: train BCE=0.604042, test BCE=0.608457, exact word=0.005, paper score=0.913
Epoch  33: train BCE=0.602675, test BCE=0.607121, exact word=0.004, paper score=0.911
Epoch  34: train BCE=0.600853, test BCE=0.605359, exact word=0.004, paper score=0.911
Epoch  35: train BCE=0.599271, test BCE=0.603855, exact word=0.004, paper score=0.911
Epoch  36: train BCE=0.597423, test BCE=0.602058, exact word=0.005, paper score=0.910
Epoch  37: train BCE=0.595841, test BCE=0.600542, exact word=0.005, paper score=0.909
Epoch  38: train BCE=0.594214, test BCE=0.598952, exact word=0.005, paper score=0.909
Epoch  39: train BCE=0.592774, test BCE=0.597577, exact word=0.005, paper score=0.909
Epoch  40: train BCE=0.591573, test BCE=0.596451, exact word=0.005, paper score=0.909
Epoch  41: train BCE=0.590186, test BCE=0.595145, exact word=0.003, paper score=0.910
Epoch  42: train BCE=0.588698, test BCE=0.593651, exact word=0.003, paper score=0.910
Epoch  43: train BCE=0.587272, test BCE=0.592264, exact word=0.003, paper score=0.909
Epoch  44: train BCE=0.586090, test BCE=0.591119, exact word=0.003, paper score=0.910
Epoch  45: train BCE=0.585075, test BCE=0.590170, exact word=0.003, paper score=0.911
Epoch  46: train BCE=0.583771, test BCE=0.588889, exact word=0.003, paper score=0.913
Epoch  47: train BCE=0.582574, test BCE=0.587709, exact word=0.003, paper score=0.914
